,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
105,2020-12-14,19164.53,24303.03,18996.91,23478.0,14030.648276,2020-12-20 23:59:59.999,306073098.06040645,183762,6447.614961,141365332.28458187,0
106,2020-12-21,23476.81,28383.13,21860.0,26239.9,15228.732856,2020-12-27 23:59:59.999,369780807.7571654,206030,7814.606204,189733590.05165535,0
107,2020-12-28,26232.24,34851.3,25550.0,33033.26,18619.577941,2021-01-03 23:59:59.999,554840432.8945954,263762,8992.952628,270214232.58270705,0
108,2021-01-04,33040.0,42037.99,28000.0,38156.4,25279.730052,2021-01-10 23:59:59.999,920345236.4407685,440182,12899.250805,471145489.7201674,0
109,2021-01-11,38150.92,40100.0,30239.51,35818.76,31174.565224,2021-01-17 23:59:59.999,1110759430.4592073,488369,14713.285727,524581425.10808754,0
110,2021-01-18,35801.66,37967.29,28800.0,32302.42,26850.838042,2021-01-24 23:59:59.999,902374321.60875,412176,12725.972548,428216520.40142816,0
111,2021-01-25,32296.36,38639.19,29240.0,33130.26,27955.007666,2021-01-31 23:59:59.999,928633014.5643039,418697,14584.477524,485102758.6477465,0
112,2021-02-01,33120.51,41000.0,32324.02,38866.41,20156.850072,2021-02-07 23:59:59.999,744647792.4556173,368584,10771.86032,397599019.4632269,0
113,2021-02-08,38860.36,49735.42,37000.0,48629.31,21655.288417,2021-02-14 23:59:59.999,996759102.573546,419946,11871.863397,546661794.8339936,0
114,2021-02-15,48626.59,58367.75,45777.81,57484.39,16957.52358,2021-02-21 23:59:59.999,883755230.3898838,384088,9296.604194,484785653.4039608,0
115,2021-02-22,57463.71,57561.55,43000.0,45215.21,28103.357669,2021-02-28 23:59:59.999,1380939171.9159014,556894,13597.583422,667604971.8906113,0
116,2021-03-01,45243.69,52667.39,45031.37,50979.57,14619.263687,2021-03-07 23:59:59.999,714558386.5458851,279910,7193.914173,351641658.2143189,0
117,2021-03-08,50980.49,61800.0,49318.79,59011.65,14210.539745,2021-03-14 23:59:59.999,794777843.4362767,305816,6781.143019,379678443.28180224,0
118,2021-03-15,59000.0,61720.0,53275.0,57367.35,14137.262799,2021-03-21 23:59:59.999,808608100.1637577,340954,6509.220493,372303658.4418563,0
119,2021-03-22,57353.03,58418.3,50363.16,55767.6,14916.774239,2021-03-28 23:59:59.999,810091324.6499478,434288,6839.807911,371432191.6902869,0
120,2021-03-29,55776.4,60143.55,54895.0,58221.71,12433.090165,2021-04-04 23:59:59.999,725227976.0620496,391463,5653.193488,329856418.9136031,0
121,2021-04-05,58209.31,61284.36,55445.46,59954.82,10811.697268,2021-04-11 23:59:59.999,629655015.8749,367598,4839.099988,281855163.99108547,0
122,2021-04-12,59961.48,64882.47,51035.68,56265.18,16746.717203,2021-04-18 23:59:59.999,1009802581.4826922,505291,8084.910589,487972138.5938636,0
123,2021-04-19,56248.84,58000.0,47013.71,49123.01,23042.253115,2021-04-25 23:59:59.999,1215858277.0760756,541411,11585.340987,610932095.737993,0
124,2021-04-26,49123.07,58531.63,48835.81,56606.3,13583.155112,2021-05-02 23:59:59.999,743819325.1277494,376547,6728.893027,368448648.36359733,0
125,2021-05-03,56602.83,59558.2,52915.12,58280.4,16412.652199,2021-05-09 23:59:59.999,933614413.0464938,452795,8339.762038,474618509.5188079,0
126,2021-05-10,58328.37,59611.94,43800.0,46429.2,21596.437612,2021-05-16 23:59:59.999,1114105006.4279008,582749,10761.262057,556103585.1242793,0
127,2021-05-17,46427.05,46659.97,30000.0,34734.64,51217.04331,2021-05-23 23:59:59.999,1972486041.6741781,928838,25252.714831,972977670.8204194,0
128,2021-05-24,34760.71,40900.0,33400.0,35658.55,26411.687013,2021-05-30 23:59:59.999,980917162.538921,596758,13064.168705,485504169.06014496,0
129,2021-05-31,35651.65,39481.0,34182.39,35798.29,17586.63338,2021-06-06 23:59:59.999,648069962.2664814,432937,8748.535533,322417442.312346,0
130,2021-06-07,35801.16,39657.69,31021.0,39025.72,22589.095119,2021-06-13 23:59:59.999,800100823.5364094,404943,10975.771061,389127965.7501465,0
131,2021-06-14,39037.68,41339.67,33330.59,35593.89,19502.559169,2021-06-20 23:59:59.999,737533469.9818078,357423,8644.282184,326293811.4336794,0
132,2021-06-21,35589.06,35742.71,28765.43,34678.88,31612.743598,2021-06-27 23:59:59.999,1027920136.0917324,478891,14764.750817,480729691.2439311,0
133,2021-06-28,34708.86,36633.77,32666.6,35290.65,15835.51415,2021-07-04 23:59:59.999,547146665.575978,261817,7564.982665,261757784.99065474,0
134,2021-07-05,35280.25,35280.25,32096.15,34244.09,11844.234249,2021-07-11 23:59:59.999,399484968.03567666,273258,5737.552529,193451171.51735947,0
135,2021-07-12,34251.44,34683.69,31025.65,31782.76,12367.348247,2021-07-18 23:59:59.999,398789287.18396276,288134,6074.616615,196066294.10452077,0
136,2021-07-19,31786.78,35417.9,29264.41,35401.94,17132.757436,2021-07-25 23:59:59.999,548361509.0717478,290798,7824.232517,249934638.9891051,0
137,2021-07-26,35403.88,42600.0,35248.96,39856.79,31543.910302,2021-08-01 23:59:59.999,1241841985.7469726,460229,15887.480776,625999196.700261,0
138,2021-08-02,39866.51,45360.2,37300.0,43835.04,19979.31628,2021-08-08 23:59:59.999,818546367.5675641,385310,9715.391813,397878377.01783925,0
139,2021-08-09,43828.73,48200.0,42817.95,47003.87,16777.2296,2021-08-15 23:59:59.999,768000697.56004,365313,8310.050916,380498725.74699,0
140,2021-08-16,47013.5,49808.89,43943.44,49276.5,14462.255252,2021-08-22 23:59:59.999,676099277.6332372,342897,7174.536068,335417823.0082647,0
141,2021-08-23,49276.5,50546.27,46236.72,48792.95,12106.396902,2021-08-29 23:59:59.999,586802363.4787858,268754,5797.35297,281388729.88760966,0
142,2021-08-30,48805.61,51950.0,46531.41,51786.64,11620.97396,2021-09-05 23:59:59.999,569602292.0925285,296809,5742.138181,281552395.76081955,0
143,2021-09-06,51792.48,52942.42,42913.0,46051.09,16085.605225,2021-09-12 23:59:59.999,759811813.6524937,369765,7458.282459,353688116.44466215,0
144,2021-09-13,46036.05,48930.0,43390.57,47254.55,9306.92436,2021-09-19 23:59:59.999,434219296.0042276,226934,4291.62514,200809790.7969865,0
